CreditScore,Age,Tenure,NumOfProducts,New_Estimated_Salary,Gender_Female,Gender_Male
534,52,1,3,10403.541000000001,0,1
670,31,9,1,7625.483,1,0
662,44,8,2,17531.487,0,1
609,37,6,2,2203.072,0,1
631,29,7,2,12587.722,0,1
697,35,5,1,6477.161,0,1
655,34,4,2,13403.432,1,0
684,24,9,1,19657.448,1,0
602,25,0,2,10127.417,1,0
753,35,3,2,18484.377,0,1
710,33,1,2,16831.317000000003,0,1
594,26,6,2,13121.185999999998,1,0
553,47,3,1,14570.419,0,1
569,41,4,1,16315.003,0,1
620,29,3,2,15339.228,1,0
553,37,2,2,3387.7290000000003,0,1
681,43,8,1,11465.981,1,0
701,21,9,2,2632.7419999999997,1,0
658,37,3,2,7037.024,0,1
653,41,8,1,5566.385,0,1
694,33,4,2,17812.386,1,0
599,33,4,1,11162.276,0,1
558,45,1,2,8989.14,1,0
583,24,9,1,8980.189999999999,0,1
686,47,5,1,17317.979,1,0
525,59,6,1,8334.273,1,0
714,42,2,1,4716.655000000001,0,1
767,23,2,1,2803.828,0,1
759,31,8,2,9908.674,0,1
647,26,8,1,13659.223999999998,1,0
676,40,8,1,6799.844999999999,0,1
683,38,5,1,12384.607,1,0
619,58,5,1,8602.208999999999,0,1
840,39,1,1,8448.761999999999,1,0
781,20,0,2,10830.145,0,1
653,38,8,1,15046.835000000001,0,1
538,33,5,2,12696.241,1,0
595,35,8,1,10001.579,0,1
745,33,1,2,17443.101000000002,1,0
746,34,6,2,18349.487,0,1
547,49,2,1,6546.693,1,0
411,54,9,1,7662.149,1,0
551,31,1,2,18510.544,0,1
692,29,4,1,7675.599,0,1
556,30,7,2,18664.819,1,0
644,40,9,4,7706.363,1,0
617,37,4,2,17532.474,1,0
659,48,4,2,8246.905999999999,0,1
505,35,8,1,9109.284,0,1
644,33,7,1,4394.308999999999,0,1
758,43,10,2,5531.344,1,0
605,56,1,2,6219.978,1,0
611,58,8,2,10766.568,0,1
686,41,5,3,10693.934,0,1
619,29,4,1,13171.251,0,1
507,35,1,2,9213.153999999999,1,0
717,39,6,2,9327.561,1,0
620,22,0,1,3258.945,0,1
687,34,5,1,19109.262,0,1
666,40,5,2,14787.804999999998,0,1
472,29,8,1,18122.456,0,1
847,35,5,1,18358.414,1,0
526,35,5,2,10561.814,0,1
566,65,4,1,10756.316,0,1
665,63,7,1,2516.536,0,1
681,32,3,2,5967.99,1,0
559,31,1,1,14336.056,1,0
524,22,9,2,7440.534,0,1
610,36,7,1,4258.104,0,1
710,38,3,1,15499.764000000001,0,1
850,37,7,1,15223.529999999999,1,0
704,33,0,2,7480.436,1,0
748,39,9,1,5963.643,1,0
549,37,2,2,4743.243,0,1
684,38,3,2,4425.5650000000005,1,0
655,38,9,1,9049.033,0,1
677,36,7,1,4731.875,1,0
576,36,6,2,4831.4,0,1
700,44,9,2,14228.765,0,1
579,31,6,1,13581.538,0,1
597,38,6,2,2505.9049999999997,0,1
483,44,5,1,19235.989999999998,1,0
796,67,5,2,5487.102,0,1
564,35,9,2,10583.738000000001,1,0
785,40,3,2,9683.282000000001,1,0
712,23,2,2,6679.5779999999995,0,1
